Year,Male Life Expectancy at Birth,Female Life Expectancy at Birth
1952,51.029,54.389
1952,51.073,58.378
1952,51.269,56.075
1952,51.783,55.799
1952,51.871,61.27
1952,52.015,56.082
1952,52.069,58.84
1952,52.378,55.527
1952,52.467,61.533
1952,52.498,57.813
1952,52.621,43.127
1952,52.666,55.112
1952,52.686,56.626
1952,52.709,55.872
1952,52.774,57.178
1952,52.967,57.723
1952,53.158,67.887
1952,53.57,57.587
1952,53.641,57.386
1952,53.763,58.017
1952,53.839,57.02
1952,54.243,62.78
1952,54.255,62.167
1952,54.282,57.612
1952,54.291,63.032
1952,54.366,57.097
1952,54.419,56.688
1952,54.789,59.619
1952,55.044,59.468
1952,55.144,58.324
1952,55.284,65.24
1952,55.308,59.948
1952,55.362,57.523
1952,55.575,59.413
1952,55.619,61.565
1952,56.086,61.176
1952,56.466,57.779
1952,56.659,59.578
1952,56.686,59.091
1952,56.69,62.459
1952,57.022,64.914
1952,57.045,62.137
1952,57.086,63.791
1952,57.166,62.181
1952,57.291,63.312
1952,57.364,60.707
1952,57.369,62.506
1952,57.456,61.958
1952,57.581,62.954
1952,57.982,63.332
1952,58.096,61.076
1952,58.477,62.334
1952,58.554,60.962
1952,58.625,62.334
1952,59.057,62.464
1952,59.151,66.418
1952,59.483,64.871
1952,59.548,68.474
1952,59.814,65.249
1952,59.823,63.818
1952,59.972,63.464
1952,60.246,63.838
1952,60.8,64.106
1952,60.895,63.989
1952,60.978,65.189
1952,61.009,61.555
1952,61.22,66.613
1952,61.259,64.67
1952,61.648,66.156
1952,61.736,66.924
1952,62.053,65.325
1952,62.212,67.445
1952,62.273,67.716
1952,62.311,66.238
1952,62.358,64.995
1952,62.529,66.988
1952,62.961,68.895
1952,63.033,68.499
1952,63.07,66.825
1952,63.113,70.71
1952,63.248,69.423
1952,63.337,69.484
1952,63.786,66.831
1952,64.072,67.69
1952,64.091,69.23
1952,64.414,70.225
1952,64.421,69.249
1952,64.724,68.32
1952,64.766,69.215
1952,64.839,69.858
1952,64.862,69.366
1952,64.948,71.868
1952,65.028,69.662
1952,65.049,69.452
1952,65.233,70.353
1952,65.538,70.459
1952,65.545,71.496
1952,65.583,71.463
1952,65.77,68.693
1952,66.267,72.191
1952,66.328,71.391
1952,66.45,72.042
1952,66.616,71.93
1952,66.832,72.107
1952,66.872,69.311
1952,66.972,71.872
1952,67.239,71.851
1952,67.392,71.496
1952,68.455,73.732
1952,69.192,74.662
1952,69.388,72.148
1952,69.826,74.691
1952,70.42,73.288
1952,70.959,73.288
1952,70.992,74.299
1953,,
1953,28.158,29.377
1953,28.307,31.595
1953,28.315,29.621
1953,29.212,33.016
1953,29.487,32.274
1953,29.745,34.327
1953,29.9,31.734
1953,30.152,35.255
1953,31.326,33.541
1953,31.679,35.419
1953,31.921,34.258
1953,32.165,36.286
1953,32.723,34.272
1953,32.936,34.873
1953,34.121,36.737
1953,34.264,44.126
1953,34.271,38.037
1953,34.322,37.446
1953,34.381,37.04
1953,34.952,37.284
1953,35.024,38.457
1953,35.096,37.596
1953,35.102,36.535
1953,35.121,37.705
1953,35.163,39.373
1953,35.362,38.342
1953,35.691,36.514
1953,35.696,38.868
1953,35.9,37.205
1953,36.532,39.211
1953,36.928,37.708
1953,37.035,39.049
1953,37.126,39.908
1953,37.149,39.463
1953,37.152,39.786
1953,37.197,40.634
1953,37.325,42.374
1953,37.327,40.342
1953,37.358,42.089
1953,37.503,38.179
1953,37.687,40.169
1953,37.923,37.702
1953,37.928,46.018
1953,37.993,40.195
1953,38.073,41.495
1953,38.078,41.382
1953,38.198,40.628
1953,38.313,40.272
1953,38.385,41.498
1953,38.579,42.332
1953,38.703,39.883
1953,38.771,42.543
1953,39.094,41.005
1953,39.108,42.295
1953,39.237,43.282
1953,39.48,43.201
1953,39.494,43.461
1953,39.658,41.493
1953,39.702,41.775
1953,39.751,40.932
1953,39.763,36.884
1953,39.818,40.647
1953,39.859,42.645
1953,39.912,38.518
1953,39.927,44.546
1953,40.136,46.268
1953,40.14,39.7
1953,40.144,42.596
1953,40.323,42.53
1953,40.435,43.195
1953,40.535,44.373
1953,40.555,43.097
1953,40.576,43.378
1953,40.658,47.078
1953,40.686,41.442
1953,40.898,43.792
1953,40.91,44.487
1953,41.071,38.915
1953,41.076,44.951
1953,41.31,43.451
1953,41.722,45.308
1953,41.786,45.86
1953,42.159,42.737
1953,42.183,43.696
1953,42.186,40.644
1953,42.244,43.689
1953,42.308,45.302
1953,42.458,41.179
1953,42.471,45.959
1953,42.517,46.176
1953,42.679,46.903
1953,42.808,49.583
1953,42.847,44.964
1953,42.853,46.867
1953,43.033,41.329
1953,43.124,47.917
1953,43.204,50.283
1953,43.347,44.408
1953,43.423,41.096
1953,43.706,45.851
1953,43.901,49.128
1953,43.96,44.283
1953,43.963,45.857
1953,43.997,48.872
1953,44.066,48.98
1953,44.073,48.028
1953,44.151,46.671
1953,44.231,44.9
1953,44.489,47.756
1953,44.614,47.253
1953,44.908,46.594
1953,44.99,50.623
1953,44.992,47.302
1953,45.046,48.786
1953,45.316,48.441
1953,45.39,46.378
1953,45.445,47.014
1953,45.748,49.382
1953,45.771,47.518
1953,45.781,46.21
1953,45.835,57.251
1953,45.924,48.111
1953,45.928,49.864
1953,45.993,49.387
1953,46.142,50.512
1953,46.753,46.768
1953,46.755,51.869
1953,46.833,54.843
1953,47.24,50.407
1953,47.613,53.761
1953,47.785,54.425
1953,48.189,47.657
1953,48.249,51.471
1953,48.27,51.81
1953,48.34,52.62
1953,48.459,50.602
1953,48.487,52.805
1953,48.55,52.741
1953,48.64,53.446
1953,48.659,51.473
1953,48.668,50.317
1953,48.764,52.432
1953,48.962,52.709
1953,48.968,53.797
1953,48.997,53.508
1953,49.116,51.009
1953,49.152,52.407
1953,49.194,55.441
1953,49.204,53.261
1953,49.225,58.042
1953,49.24,54.002
1953,49.336,56.984
1953,49.546,51.947
1953,49.602,54.84
1953,49.623,55.719
1953,49.647,55.517
1953,49.775,57.812
1953,49.98,49.661
1953,50.147,53.795
1953,50.33,54.538
1953,50.367,54.933
1953,50.484,53.313
1953,50.691,52.389
1953,50.964,55.25
1953,51.032,55.339
1953,51.232,58.554
1953,51.328,54.792
1953,51.375,54.989
1953,51.418,52.8
1953,51.723,53.318
1953,52.067,61.451
1953,52.386,56.44
1953,52.397,56.383
1953,52.65,58.128
1953,52.686,56.074
1953,52.725,59.079
1953,52.789,57.711
1953,52.959,61.821
1953,53.162,57.102
1953,53.211,57.676
1953,53.425,56.666
1953,53.517,61.245
1953,53.71,58.243
1953,53.752,56.29
1953,53.858,68.684
1953,54.181,58.678
1953,54.217,58.214
1953,54.293,45.905
1953,54.509,58.17
1953,54.589,62.711
1953,54.615,57.631
1953,54.711,58.119
1953,54.72,57.554
1953,54.938,57.263
1953,55.109,64.09
1953,55.188,63.636
1953,55.211,58.499
1953,55.743,60.253
1953,55.744,60.19
1953,55.98,59.959
1953,56.194,61.158
1953,56.233,58.872
1953,56.348,66.178
1953,56.411,58.967
1953,56.484,62.38
1953,56.673,58.066
1953,56.903,62.813
1953,57.404,60.441
1953,57.663,62.351
1953,57.743,62.871
1953,58.06,60.692
1953,58.061,64.886
1953,58.214,63.741
1953,58.225,65.841
1953,58.371,63.623
1953,58.554,63.928
1953,58.798,61.057
1953,58.836,62.68
1953,59.035,64.402
1953,59.228,63.514
1953,59.233,62.838
1953,59.38,67.186
1953,59.496,62.95
1953,59.699,65.7
1953,60.007,66.718
1953,60.151,65.549
1953,60.322,64.309
1953,60.596,69.171
1953,60.777,64.765
1953,61.02,64.146
1953,61.126,62.679
1953,61.539,65.066
1953,61.595,65.836
1953,61.776,65.868
1953,61.805,67.285
1953,61.922,65.273
1953,62.069,64.866
1953,62.457,65.963
1953,62.477,67.505
1953,62.719,68.059
1953,62.743,66.689
1953,62.793,68.341
1953,62.951,68.954
1953,62.972,68.529
1953,63.249,69.755
1953,63.284,70.877
1953,63.423,69.616
1953,63.469,67.214
1953,63.478,67.847
1953,63.625,65.822
1953,63.742,67.493
1953,63.983,68.939
1953,64.286,70.233
1953,64.574,67.694
1953,64.615,69.707
1953,64.704,68.39
1953,64.797,68.436
1953,64.96,71.989
1953,65.125,69.915
1953,65.171,70.135
1953,65.347,70.504
1953,65.796,71.915
1953,65.842,71.882
1953,65.877,70.901
1953,65.919,70.388
1953,66.5,72.328
1953,66.683,71.798
1953,66.692,69.223
1953,66.758,72.528
1953,66.882,69.485
1953,67.061,71.898
1953,67.064,72.556
1953,67.117,72.366
1953,67.188,72.035
1953,67.218,72.578
1953,67.224,72.148
1953,67.918,72.695
1953,69.381,74.728
1953,69.884,72.475
1953,70.227,74.29
1953,70.427,72.992
1953,70.429,73.401
1953,71.237,75.071
1954,,
1954,28.313,29.642
1954,28.612,31.905
1954,28.624,29.9
1954,29.597,33.487
1954,29.833,34.461
1954,29.973,32.651
1954,30.23,32.056
1954,30.576,35.712
1954,31.578,33.759
1954,32.111,34.664
1954,32.311,35.953
1954,32.584,36.775
1954,32.992,34.625
1954,33.164,35.219
1954,34.436,37.093
1954,34.455,38.207
1954,34.705,37.859
1954,35.13,37.713
1954,35.179,37.475
1954,35.186,38.626
1954,35.239,37.653
1954,35.398,36.711
1954,35.438,39.734
1954,35.476,38.622
1954,35.528,38.098
1954,35.651,36.648
1954,36.277,37.524
1954,36.799,39.645
1954,36.911,39.662
1954,37.249,37.959
1954,37.35,40.727
1954,37.361,43.729
1954,37.512,40.202
1954,37.57,39.621
1954,37.586,38.148
1954,37.587,39.905
1954,37.759,42.878
1954,37.947,40.69
1954,38.05,42.552
1954,38.195,41.12
1954,38.265,40.589
1954,38.288,38.108
1954,38.366,40.86
1954,38.491,42.037
1954,38.502,41.869
1954,38.614,40.783
1954,38.654,41.78
1954,38.867,41.976
1954,39.13,42.954
1954,39.318,40.602
1954,39.443,43.511
1954,39.489,41.393
1954,39.524,42.884
1954,39.545,42.67
1954,39.719,43.533
1954,39.803,40.983
1954,39.885,41.947
1954,39.943,43.698
1954,40.1,42.958
1954,40.147,44.222
1954,40.213,41.394
1954,40.27,42.642
1954,40.566,45.289
1954,40.707,37.852
1954,40.728,39.499
1954,40.753,43.306
1954,40.755,41.667
1954,40.798,43.597
1954,40.95,47.135
1954,41.002,43.861
1954,41.039,43.366
1954,41.259,45.033
1954,41.403,40.883
1954,41.414,44.394
1954,41.628,39.581
1954,41.652,45.345
1954,41.713,45.672
1954,41.922,44.071
1954,41.955,46.128
1954,42.121,48.579
1954,42.314,46.282
1954,42.606,45.677
1954,42.921,43.513
1954,42.932,41.455
1954,43.087,44.524
1954,43.19,46.792
1954,43.194,41.987
1954,43.208,47.301
1954,43.231,46.576
1954,43.488,50.421
1954,43.515,44.568
1954,43.677,45.768
1954,43.739,42.118
1954,43.959,48.812
1954,44.102,47.731
1954,44.306,51.255
1954,44.347,49.241
1954,44.555,49.836
1954,44.568,45.286
1954,44.571,46.683
1954,44.58,49.476
1954,44.695,48.729
1954,44.721,47.353
1954,44.876,46.713
1954,44.885,49.03
1954,44.9,47.457
1954,45.048,42.795
1954,45.16,48.534
1954,45.248,45.673
1954,45.375,47.696
1954,45.631,51.348
1954,45.986,47.576
1954,46.084,49.688
1954,46.189,47.715
1954,46.206,47.826
1954,46.312,48.438
1954,46.389,50.32
1954,46.428,49.544
1954,46.611,47.643
1954,46.736,50.3
1954,46.866,51.308
1954,47.027,49.089
1954,47.166,55.301
1954,47.295,52.411
